gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
064690,20061231,2006,INDL,C,D,STD,ALV,USD,80.1000,A,60.3000
064745,20061231,2006,INDL,C,D,STD,KNL,USD,49.0380,I,22.0000
064891,20070331,2006,INDL,C,D,STD,RL,USD,104.0000,A,77.6600
065107,20061231,2006,INDL,C,D,STD,SSCC,USD,3.7920,A,0.1000
065248,20061231,2006,INDL,C,D,STD,MT,USD,1385.2690,A,42.1800
065590,20061231,2006,INDL,C,D,STD,SRI,USD,23.8040,A,8.1900
065643,20061231,2006,INDL,C,D,STD,FCS,USD,122.7290,I,16.8100
065676,20061231,2006,INDL,C,D,STD,IN,USD,60.3180,I,24.2700
065772,20061231,2006,INDL,C,D,STD,MTD,USD,38.4300,A,78.8500
066050,20061231,2006,INDL,C,D,STD,HWK,USD,9.0170,I,11.9700
066290,20070228,2006,INDL,C,D,STD,SCS,USD,146.8460,A,18.1600
066440,20060630,2006,INDL,C,D,STD,3368B,USD,0.0010,I,
101204,20061231,2006,INDL,C,D,STD,SNY,USD,2700.9880,A,46.1700
101310,20061231,2006,INDL,C,D,STD,NVS,USD,2348.2310,A,57.4400
101352,20061231,2006,INDL,C,D,STD,ALU,USD,2250.9390,I,14.2200
108768,20060630,2006,INDL,C,D,STD,AG,CAD,35.0380,A,4.9500
110039,20061231,2006,INDL,C,D,STD,AMKR,USD,178.1090,A,9.3400
112033,20061231,2006,INDL,C,D,STD,KG,USD,243.1510,I,15.9200
112158,20061231,2006,INDL,C,D,STD,CLS,USD,227.8530,A,7.8100
117768,20070131,2006,INDL,C,D,STD,NVDA,USD,360.9890,A,37.0100
117861,20061231,2006,INDL,C,D,STD,AXL,USD,50.5000,A,18.9900
119417,20061231,2006,INDL,C,D,STD,PBG,USD,230.0000,I,30.9100
120877,20061231,2006,INDL,C,D,STD,RAI,USD,295.6250,I,65.4700
121718,20061231,2006,INDL,C,D,STD,JNPR,USD,569.2340,A,18.9400
122257,20061231,2006,INDL,C,D,STD,BMRN,USD,91.7260,A,16.3900
122380,20061231,2006,INDL,C,D,STD,LII,USD,67.1560,A,30.6100
124254,20061130,2006,INDL,C,D,STD,OMN,USD,42.0000,I,4.5800
125533,20061231,2006,INDL,C,D,STD,PTV,USD,132.6760,I,35.6900
125599,20061231,2006,INDL,C,D,STD,CHRT,USD,253.5900,I,8.3500
126554,20061031,2006,INDL,C,D,STD,A,USD,408.0000,A,34.8500
128978,20061231,2006,INDL,C,D,STD,PKG,USD,104.6110,A,22.1000
133367,20060930,2006,INDL,C,D,STD,EPC,USD,56.6730,A,70.9900
136648,20061231,2006,INDL,C,D,STD,VC,USD,129.0000,A,8.4800
138143,20060630,2006,INDL,C,D,STD,9971B,USD,2.2980,I,
138741,20061231,2006,INDL,C,D,STD,AMMD,USD,71.0590,I,18.5200
139804,20061231,2006,INDL,C,D,STD,TTMI,USD,42.0930,A,11.3300
144066,20060930,2006,INDL,C,D,STD,COL,USD,167.1000,I,63.2900
144435,20061231,2006,INDL,C,D,STD,BG,USD,119.9560,A,72.5100
145911,20061231,2006,INDL,C,D,STD,DJO,USD,22.3180,I,42.8200
145979,20061231,2006,INDL,C,D,STD,ACW,USD,34.8500,I,11.2600
146017,20060831,2006,INDL,C,D,STD,AYI,USD,43.0630,A,52.0400
147644,20061231,2006,INDL,C,D,STD,KYPH,USD,44.9390,I,40.4000
148250,20061231,2006,INDL,C,D,STD,0252B,USD,0.8270,I,
